actor_id,full_name,title,category_id,release_year_x,film_id,description,release_year_y,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
2,NICK WAHLBERG,DRACULA CRYSTAL,4,2006,249,A Thrilling Reflection of a Feminist And a Cat who must Find a Frisbee in An Abandoned Fun House,2006,1,,7,0.99,176,26.99,G,Commentaries,15/2/06 05:03
2,NICK WAHLBERG,FIGHT JAWBREAKER,2,2006,314,A Intrepid Panorama of a Womanizer And a Girl who must Escape a Girl in A Manhattan Penthouse,2006,1,,3,0.99,91,13.99,R,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",15/2/06 05:03
2,NICK WAHLBERG,FLASH WARS,13,2006,321,A Astounding Saga of a Moose And a Pastry Chef who must Chase a Student in The Gulf of Mexico,2006,1,,3,4.99,123,21.99,NC-17,"Trailers,Commentaries,Behind the Scenes",15/2/06 05:03
2,NICK WAHLBERG,GILBERT PELICAN,4,2006,357,A Fateful Tale of a Man And a Feminist who must Conquer a Crocodile in A Manhattan Penthouse,2006,1,,7,0.99,114,13.99,G,"Trailers,Commentaries",15/2/06 05:03
2,NICK WAHLBERG,GOODFELLAS SALUTE,14,2006,369,A Unbelieveable Tale of a Dog And a Explorer who must Sink a Mad Cow in A Baloon Factory,2006,1,,4,4.99,56,22.99,PG,Deleted Scenes,15/2/06 05:03
2,NICK WAHLBERG,HAPPINESS UNITED,9,2006,399,A Action-Packed Panorama of a Husband And a Feminist who must Meet a Forensic Psychologist in Ancient Japan,2006,1,,6,2.99,100,23.99,G,Deleted Scenes,15/2/06 05:03
2,NICK WAHLBERG,INDIAN LOVE,8,2006,458,A Insightful Saga of a Mad Scientist And a Mad Scientist who must Kill a Astronaut in An Abandoned Fun House,2006,1,,4,0.99,135,26.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",15/2/06 05:03
2,NICK WAHLBERG,JEKYLL FROGMEN,13,2006,481,A Fanciful Epistle of a Student And a Astronaut who must Kill a Waitress in A Shark Tank,2006,1,,4,2.99,58,22.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes",15/2/06 05:03
2,NICK WAHLBERG,JERSEY SASSY,3,2006,485,A Lacklusture Documentary of a Madman And a Mad Cow who must Find a Feminist in Ancient Japan,2006,1,,6,4.99,60,16.99,PG,"Deleted Scenes,Behind the Scenes",15/2/06 05:03
2,NICK WAHLBERG,LIAISONS SWEET,16,2006,518,A Boring Drama of a A Shark And a Explorer who must Redeem a Waitress in The Canadian Rockies,2006,1,,5,4.99,140,15.99,PG,"Commentaries,Behind the Scenes",15/2/06 05:03
2,NICK WAHLBERG,LUCKY FLYING,12,2006,540,A Lacklusture Character Study of a A Shark And a Man who must Find a Forensic Psychologist in A U-Boat,2006,1,,7,2.99,97,10.99,PG-13,"Trailers,Commentaries,Behind the Scenes",15/2/06 05:03
2,NICK WAHLBERG,MAGUIRE APACHE,8,2006,550,A Fast-Paced Reflection of a Waitress And a Hunter who must Defeat a Forensic Psychologist in A Baloon,2006,1,,6,2.99,74,22.99,NC-17,"Trailers,Commentaries",15/2/06 05:03
2,NICK WAHLBERG,MALLRATS UNITED,5,2006,555,A Thrilling Yarn of a Waitress And a Dentist who must Find a Hunter in A Monastery,2006,1,,4,0.99,133,25.99,PG,"Trailers,Commentaries,Deleted Scenes",15/2/06 05:03
2,NICK WAHLBERG,MASK PEACH,13,2006,561,A Boring Character Study of a Student And a Robot who must Meet a Woman in California,2006,1,,6,2.99,123,26.99,NC-17,"Commentaries,Deleted Scenes",15/2/06 05:03
2,NICK WAHLBERG,ROOF CHAMPION,10,2006,742,A Lacklusture Reflection of a Car And a Explorer who must Find a Monkey in A Baloon,2006,1,,7,0.99,101,25.99,R,"Deleted Scenes,Behind the Scenes",15/2/06 05:03
2,NICK WAHLBERG,RUSHMORE MERMAID,5,2006,754,A Boring Story of a Woman And a Moose who must Reach a Husband in A Shark Tank,2006,1,,6,2.99,150,17.99,PG-13,"Trailers,Commentaries,Deleted Scenes",15/2/06 05:03
2,NICK WAHLBERG,SMILE EARRING,16,2006,811,A Intrepid Drama of a Teacher And a Butler who must Build a Pastry Chef in Berlin,2006,1,,4,2.99,60,29.99,G,"Commentaries,Behind the Scenes",15/2/06 05:03
2,NICK WAHLBERG,WARDROBE PHANTOM,7,2006,958,A Action-Packed Display of a Mad Cow And a Astronaut who must Kill a Car in Ancient India,2006,1,,6,2.99,178,19.99,G,"Trailers,Commentaries",15/2/06 05:03
3,ED CHASE,ALONE TRIP,12,2006,17,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,2006,1,,3,0.99,82,14.99,R,"Trailers,Behind the Scenes",15/2/06 05:03
3,ED CHASE,ARMY FLINTSTONES,6,2006,40,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,2006,1,,4,0.99,148,22.99,R,"Trailers,Commentaries",15/2/06 05:03
3,ED CHASE,ARTIST COLDBLOODED,15,2006,42,A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California,2006,1,,5,2.99,170,10.99,NC-17,"Trailers,Behind the Scenes",15/2/06 05:03
3,ED CHASE,BOONDOCK BALLROOM,16,2006,87,A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico,2006,1,,7,0.99,76,14.99,NC-17,Behind the Scenes,15/2/06 05:03
3,ED CHASE,CADDYSHACK JEDI,1,2006,111,A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia,2006,1,,3,0.99,52,17.99,NC-17,"Commentaries,Deleted Scenes",15/2/06 05:03
3,ED CHASE,COWBOY DOOM,9,2006,185,A Astounding Drama of a Boy And a Lumberjack who must Fight a Butler in A Baloon,2006,1,,3,2.99,146,10.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes",15/2/06 05:03
3,ED CHASE,EVE RESURRECTION,13,2006,289,A Awe-Inspiring Yarn of a Pastry Chef And a Database Administrator who must Challenge a Teacher in A Baloon,2006,1,,5,4.99,66,25.99,G,"Trailers,Commentaries,Deleted Scenes",15/2/06 05:03
3,ED CHASE,FORREST SONS,1,2006,329,A Thrilling Documentary of a Forensic Psychologist And a Butler who must Defeat a Explorer in A Jet Boat,2006,1,,4,2.99,63,15.99,R,Commentaries,15/2/06 05:03
3,ED CHASE,FRENCH HOLIDAY,6,2006,336,A Thrilling Epistle of a Dog And a Feminist who must Kill a Madman in Berlin,2006,1,,5,4.99,99,22.99,PG,Behind the Scenes,15/2/06 05:03
3,ED CHASE,FROST HEAD,4,2006,341,A Amazing Reflection of a Lumberjack And a Cat who must Discover a Husband in A MySQL Convention,2006,1,,5,0.99,82,13.99,PG,"Trailers,Deleted Scenes",15/2/06 05:03
3,ED CHASE,HALLOWEEN NUTS,6,2006,393,A Amazing Panorama of a Forensic Psychologist And a Technical Writer who must Fight a Dentist in A U-Boat,2006,1,,6,2.99,47,19.99,PG-13,Deleted Scenes,15/2/06 05:03
3,ED CHASE,HUNTER ALTER,6,2006,441,A Emotional Drama of a Mad Cow And a Boat who must Redeem a Secret Agent in A Shark Tank,2006,1,,5,2.99,125,21.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes",15/2/06 05:03
3,ED CHASE,IMAGE PRINCESS,15,2006,453,A Lacklusture Panorama of a Secret Agent And a Crocodile who must Discover a Madman in The Canadian Rockies,2006,1,,3,2.99,178,17.99,PG-13,"Trailers,Commentaries,Deleted Scenes",15/2/06 05:03
3,ED CHASE,JEEPERS WEDDING,4,2006,480,A Astounding Display of a Composer And a Dog who must Kill a Pastry Chef in Soviet Georgia,2006,1,,3,2.99,84,29.99,R,"Trailers,Commentaries,Deleted Scenes",15/2/06 05:03
3,ED CHASE,LUCK OPUS,7,2006,539,A Boring Display of a Moose And a Squirrel who must Outrace a Teacher in A Shark Tank,2006,1,,7,2.99,152,21.99,NC-17,"Trailers,Commentaries,Behind the Scenes",15/2/06 05:03
3,ED CHASE,NECKLACE OUTBREAK,7,2006,618,A Astounding Epistle of a Database Administrator And a Mad Scientist who must Pursue a Cat in California,2006,1,,3,0.99,132,21.99,PG,"Trailers,Commentaries,Behind the Scenes",15/2/06 05:03
3,ED CHASE,PLATOON INSTINCT,13,2006,685,A Thrilling Panorama of a Man And a Woman who must Reach a Woman in Australia,2006,1,,6,4.99,132,10.99,PG-13,"Trailers,Commentaries",15/2/06 05:03
3,ED CHASE,SPICE SORORITY,7,2006,827,A Fateful Display of a Pioneer And a Hunter who must Defeat a Husband in An Abandoned Mine Shaft,2006,1,,5,4.99,141,22.99,NC-17,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",15/2/06 05:03
3,ED CHASE,WEDDING APOLLO,6,2006,966,A Action-Packed Tale of a Student And a Waitress who must Conquer a Lumberjack in An Abandoned Mine Shaft,2006,1,,3,0.99,70,14.99,PG,Trailers,15/2/06 05:03
3,ED CHASE,WEEKEND PERSONAL,14,2006,967,A Fast-Paced Documentary of a Car And a Butler who must Find a Frisbee in A Jet Boat,2006,1,,5,2.99,134,26.99,R,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",15/2/06 05:03
3,ED CHASE,WHALE BIKINI,9,2006,971,A Intrepid Story of a Pastry Chef And a Database Administrator who must Kill a Feminist in A MySQL Convention,2006,1,,4,4.99,109,11.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes",15/2/06 05:03
3,ED CHASE,YOUNG LANGUAGE,6,2006,996,A Unbelieveable Yarn of a Boat And a Database Administrator who must Meet a Boy in The First Manned Space Station,2006,1,,6,0.99,183,9.99,G,"Trailers,Behind the Scenes",15/2/06 05:03
4,JENNIFER DAVIS,ANACONDA CONFESSIONS,2,2006,23,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,2006,1,,3,0.99,92,9.99,R,"Trailers,Deleted Scenes",15/2/06 05:03
4,JENNIFER DAVIS,ANGELS LIFE,13,2006,25,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,2006,1,,3,2.99,74,15.99,G,Trailers,15/2/06 05:03
4,JENNIFER DAVIS,BAREFOOT MANCHURIAN,1,2006,56,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,2006,1,,6,2.99,129,15.99,G,"Trailers,Commentaries",15/2/06 05:03
4,JENNIFER DAVIS,BED HIGHBALL,6,2006,62,A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House,2006,1,,5,2.99,106,23.99,NC-17,"Trailers,Commentaries,Deleted Scenes",15/2/06 05:03
4,JENNIFER DAVIS,BLADE POLISH,7,2006,79,A Thoughtful Character Study of a Frisbee And a Pastry Chef who must Fight a Dentist in The First Manned Space Station,2006,1,,5,0.99,114,10.99,PG-13,"Trailers,Behind the Scenes",15/2/06 05:03
4,JENNIFER DAVIS,BOONDOCK BALLROOM,16,2006,87,A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico,2006,1,,7,0.99,76,14.99,NC-17,Behind the Scenes,15/2/06 05:03
4,JENNIFER DAVIS,GHOSTBUSTERS ELF,2,2006,355,A Thoughtful Epistle of a Dog And a Feminist who must Chase a Composer in Berlin,2006,1,,7,0.99,101,18.99,R,"Trailers,Deleted Scenes,Behind the Scenes",15/2/06 05:03
4,JENNIFER DAVIS,GREEDY ROOTS,7,2006,379,A Amazing Reflection of a A Shark And a Butler who must Chase a Hunter in The Canadian Rockies,2006,1,,7,0.99,166,14.99,R,"Trailers,Commentaries,Deleted Scenes",15/2/06 05:03
4,JENNIFER DAVIS,HANOVER GALAXY,12,2006,398,A Stunning Reflection of a Girl And a Secret Agent who must Succumb a Boy in A MySQL Convention,2006,1,,5,4.99,47,21.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",15/2/06 05:03
4,JENNIFER DAVIS,INSTINCT AIRPORT,15,2006,463,A Touching Documentary of a Mad Cow And a Explorer who must Confront a Butler in A Manhattan Penthouse,2006,1,,4,2.99,116,21.99,PG,"Commentaries,Deleted Scenes",15/2/06 05:03
4,JENNIFER DAVIS,JUMANJI BLADE,13,2006,490,A Intrepid Yarn of a Husband And a Womanizer who must Pursue a Mad Scientist in New Orleans,2006,1,,4,2.99,121,13.99,G,"Commentaries,Behind the Scenes",15/2/06 05:03
4,JENNIFER DAVIS,NATIONAL STORY,6,2006,616,A Taut Epistle of a Mad Scientist And a Girl who must Escape a Monkey in California,2006,1,,4,2.99,92,19.99,NC-17,Trailers,15/2/06 05:03
4,JENNIFER DAVIS,OKLAHOMA JUMANJI,13,2006,635,A Thoughtful Drama of a Dentist And a Womanizer who must Meet a Husband in The Sahara Desert,2006,1,,7,0.99,58,15.99,PG,Behind the Scenes,15/2/06 05:03
4,JENNIFER DAVIS,POSEIDON FOREVER,15,2006,691,A Thoughtful Epistle of a Womanizer And a Monkey who must Vanquish a Dentist in A Monastery,2006,1,,6,4.99,159,29.99,PG-13,Commentaries,15/2/06 05:03
4,JENNIFER DAVIS,RAIDERS ANTITRUST,6,2006,712,A Amazing Drama of a Teacher And a Feminist who must Meet a Woman in The First Manned Space Station,2006,1,,4,0.99,82,11.99,PG-13,Deleted Scenes,15/2/06 05:03
4,JENNIFER DAVIS,RANDOM GO,14,2006,714,A Fateful Drama of a Frisbee And a Student who must Confront a Cat in A Shark Tank,2006,1,,6,2.99,73,29.99,NC-17,Trailers,15/2/06 05:03
4,JENNIFER DAVIS,REDS POCUS,12,2006,721,A Lacklusture Yarn of a Sumo Wrestler And a Squirrel who must Redeem a Monkey in Soviet Georgia,2006,1,,7,4.99,182,23.99,PG-13,"Trailers,Behind the Scenes",15/2/06 05:03
4,JENNIFER DAVIS,SILVERADO GOLDFINGER,14,2006,798,A Stunning Epistle of a Sumo Wrestler And a Man who must Challenge a Waitress in Ancient India,2006,1,,4,4.99,74,11.99,PG,"Trailers,Commentaries",15/2/06 05:03
4,JENNIFER DAVIS,SPLASH GUMP,8,2006,832,A Taut Saga of a Crocodile And a Boat who must Conquer a Hunter in A Shark Tank,2006,1,,5,0.99,175,16.99,PG,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",15/2/06 05:03
4,JENNIFER DAVIS,SUBMARINE BED,5,2006,858,A Amazing Display of a Car And a Monkey who must Fight a Teacher in Soviet Georgia,2006,1,,5,4.99,127,21.99,R,Trailers,15/2/06 05:03
4,JENNIFER DAVIS,TREASURE COMMAND,11,2006,909,A Emotional Saga of a Car And a Madman who must Discover a Pioneer in California,2006,1,,3,0.99,102,28.99,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",15/2/06 05:03
4,JENNIFER DAVIS,UNFORGIVEN ZOOLANDER,14,2006,924,A Taut Epistle of a Monkey And a Sumo Wrestler who must Vanquish a A Shark in A Baloon Factory,2006,1,,7,0.99,129,15.99,PG,"Trailers,Commentaries,Behind the Scenes",15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,AMADEUS HOLY,1,2006,19,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,2006,1,,6,0.99,113,20.99,PG,"Commentaries,Deleted Scenes,Behind the Scenes",15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,BANGER PINOCCHIO,12,2006,54,A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station,2006,1,,5,0.99,113,15.99,R,"Trailers,Commentaries,Deleted Scenes",15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,BONNIE HOLOCAUST,6,2006,85,A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan,2006,1,,4,0.99,63,29.99,G,Deleted Scenes,15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,CHITTY LOCK,7,2006,146,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,2006,1,,6,2.99,107,24.99,G,Commentaries,15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,COMMANDMENTS EXPRESS,11,2006,171,A Fanciful Saga of a Student And a Mad Scientist who must Battle a Hunter in An Abandoned Mine Shaft,2006,1,,6,4.99,59,13.99,R,"Trailers,Commentaries,Deleted Scenes",15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,CONEHEADS SMOOCHY,7,2006,172,A Touching Story of a Womanizer And a Composer who must Pursue a Husband in Nigeria,2006,1,,7,4.99,112,12.99,NC-17,"Deleted Scenes,Behind the Scenes",15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,DADDY PITTSBURGH,5,2006,202,A Epic Story of a A Shark And a Student who must Confront a Explorer in The Gulf of Mexico,2006,1,,5,4.99,161,26.99,G,"Deleted Scenes,Behind the Scenes",15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,DAISY MENAGERIE,14,2006,203,A Fast-Paced Saga of a Pastry Chef And a Monkey who must Sink a Composer in Ancient India,2006,1,,5,4.99,84,9.99,G,"Trailers,Commentaries,Behind the Scenes",15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,ENOUGH RAGING,16,2006,286,A Astounding Character Study of a Boat And a Secret Agent who must Find a Mad Cow in The Sahara Desert,2006,1,,7,2.99,158,16.99,NC-17,Commentaries,15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,ESCAPE METROPOLIS,16,2006,288,A Taut Yarn of a Astronaut And a Technical Writer who must Outgun a Boat in New Orleans,2006,1,,7,2.99,167,20.99,R,Trailers,15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,FIRE WOLVES,10,2006,316,A Intrepid Documentary of a Frisbee And a Dog who must Outrace a Lumberjack in Nigeria,2006,1,,5,4.99,173,18.99,R,Trailers,15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,FRONTIER CABIN,13,2006,340,A Emotional Story of a Madman And a Waitress who must Battle a Teacher in An Abandoned Fun House,2006,1,,6,4.99,183,14.99,PG-13,"Commentaries,Deleted Scenes",15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,GOODFELLAS SALUTE,14,2006,369,A Unbelieveable Tale of a Dog And a Explorer who must Sink a Mad Cow in A Baloon Factory,2006,1,,4,4.99,56,22.99,PG,Deleted Scenes,15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,GRAIL FRANKENSTEIN,1,2006,375,A Unbelieveable Saga of a Teacher And a Monkey who must Fight a Girl in An Abandoned Mine Shaft,2006,1,,4,2.99,85,17.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,GROOVE FICTION,15,2006,383,A Unbelieveable Reflection of a Moose And a A Shark who must Defeat a Lumberjack in An Abandoned Mine Shaft,2006,1,,6,0.99,111,13.99,NC-17,Behind the Scenes,15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,HALL CASSIDY,3,2006,392,A Beautiful Panorama of a Pastry Chef And a A Shark who must Battle a Pioneer in Soviet Georgia,2006,1,,5,4.99,51,13.99,NC-17,"Commentaries,Behind the Scenes",15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,HEAVENLY GUN,12,2006,411,A Beautiful Yarn of a Forensic Psychologist And a Frisbee who must Battle a Moose in A Jet Boat,2006,1,,5,4.99,49,13.99,NC-17,Behind the Scenes,15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,KRAMER CHOCOLATE,15,2006,503,A Amazing Yarn of a Robot And a Pastry Chef who must Redeem a Mad Scientist in The Outback,2006,1,,3,2.99,171,24.99,R,Trailers,15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,LOVE SUICIDES,11,2006,535,A Brilliant Panorama of a Hunter And a Explorer who must Pursue a Dentist in An Abandoned Fun House,2006,1,,6,0.99,181,21.99,R,"Trailers,Behind the Scenes",15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,METAL ARMAGEDDON,6,2006,571,A Thrilling Display of a Lumberjack And a Crocodile who must Meet a Monkey in A Baloon Factory,2006,1,,6,2.99,161,26.99,PG-13,"Trailers,Commentaries,Deleted Scenes",15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,PACIFIC AMISTAD,6,2006,650,A Thrilling Yarn of a Dog And a Moose who must Kill a Pastry Chef in A Manhattan Penthouse,2006,1,,3,0.99,144,27.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,PATTON INTERVIEW,11,2006,665,A Thrilling Documentary of a Composer And a Secret Agent who must Succumb a Cat in Berlin,2006,1,,4,2.99,175,22.99,PG,Commentaries,15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,POCUS PULP,6,2006,687,A Intrepid Yarn of a Frisbee And a Dog who must Build a Astronaut in A Baloon Factory,2006,1,,6,0.99,138,15.99,NC-17,"Commentaries,Deleted Scenes,Behind the Scenes",15/2/06 05:03
5,JOHNNY LOLLOBRIGIDA,RIDGEMONT SUBMARINE,13,2006,730,A Unbelieveable Drama of a Waitress And a Composer who must Sink a Mad Cow in Ancient Japan,2006,1,,3,0.99,46,28.99,PG-13,"Commentaries,Deleted Scenes,Behind the Scenes",15/2/06 05:03
